X,Y,OBJECTID,No,Location,Latitude,Longitude,Type,DistrictL,DistrictS,Address,Provider,ParkingNo,img
114.1907196,22.34259033,1,1,Temple Mall North,22.34259033,114.1907196,SemiQuick,Kowloon,Wong Tai Sin,"Temple Mall North Carpark, Level 3, 136 Lung Cheung Rd, Wong Tai Sin, Kln",CLP,320-322,/EV/PublishingImages/common/map/map_thumb/Entrance_Lung%20Cheung.jpg 
114.0276718,22.44207191,2,2,Fu Shing Building,22.44207191,114.0276718,SemiQuick,New Territories,Yuen Long,"Fu Shing Building Carpark, 1/F 9 Sai Ching Street, Yuen Long, NT",CLP,33-35,/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Shing%20Building.jpg
114.1861038,22.33865738,3,3,Lok Fu Plaza Carpark,22.33865738,114.1861038,SemiQuick,Kowloon,Wong Tai Sin,"Lok Fu Plaza Carpark, G/F Wang Tau Hom, Wong Tai Sin, Kln",CLP,67-69,/EV/PublishingImages/common/map/map_thumb/Entrance_Lo%20Fu_large.jpg
114.2085266,22.32032776,4,4,MegaBox,22.32032776,114.2085266,SemiQuick,Kowloon,Kwun Tong,"MegaBox Carpark,  B/F 38 Wang Chiu Road, Kowloon Bay, Kln",CLP,139-141,/EV/PublishingImages/common/map/map_thumb/Megabox.jpg
114.2721481,22.2961540200001,5,5,LOHAS Park - the Capitol,22.29615402,114.2721481,Standard,New Territories,Sai Kung,"Carpark, G/F, The Capitol, LOHAS Park, Tseung Kwan O, NT",CLP,V14-V16,/EV/PublishingImages/common/map/map_thumb/Entrance_lohas_large.jpg
114.1401215,22.3658618900001,6,6,Shek Lei Shopping Centre II,22.36586189,114.1401215,SemiQuick,New Territories,Kwai Tsing,"Shek Lei Shopping Centre Phase II Carpark,  4/F Shek Lei Estate, Kwai Chung, NT",CLP,33-35,/EV/PublishingImages/common/map/map_thumb/Entrance_Shek%20lei%20shopping%20ctr.jpg
113.9419098,22.2882328000001,7,7,Fu Tung Shopping Centre,22.2882328,113.9419098,SemiQuick,Outlying Islands,Outlying Islands,"Fu Tung Shopping Centre Carpark,  G/F Fu Ting Estate, Tung Chung, Lantau, NT",CLP,1001-1003,/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Tung_large.jpg
114.1275864,22.50291443,8,8,Landmark North,22.50291443,114.1275864,Standard,New Territories,North,"Landmark North Carpark, B3/F  39 Lung Sum Avenue, Sheung Shui, NT",CLP,79-81,/EV/PublishingImages/common/map/map_thumb/Entrance_Landmark%20north_large.jpg
114.1693573,22.2956161500001,9,9,Ocean Terminal,22.29561615,114.1693573,SemiQuick,Kowloon,Yau Tsim Mong,"Ocean Terminal Carpark (Harbour City), 4/F 3-27 Canton Rd, Tsimshatsui, Kln",CLP,"1250-1251, 1305",/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg
114.1608353,22.45048332,10,10,Tai Wo Shopping Centre,22.45048332,114.1608353,SemiQuick,New Territories,Tai Po,"Tai Wo Shopping Centre, 1/F Carpark Tai Wo Estate, Tai Po, NT",CLP,B1-B3,/EV/PublishingImages/common/map/map_thumb/Entrance_tai%20wo_large.jpg
